street_name,price,area,air_conditioning,fridge,washing_machine,mezzanine,kitchen,wardrobe,bed,balcony,elevator,free_time,parking,district,month,latitude,longitude,dist_to_q1_km,district_median_price,is_hot_street,amenity_ratio
Nguyễn Thượng Hiền,8.5,42.0,0,0,0,0,0,0,0,1,1,1,0,Quận Bình Thạnh,6,10.812271,106.7040393,4.128798019662786,4.8,0,0.2727272727272727
Tân Hòa Đông,2.8,25.0,1,0,0,0,0,0,0,1,1,1,0,Quận Bình Tân,6,10.7704159,106.5995401,10.946786715251639,3.0,0,0.36363636363636365
Tô Hiến Thành,5.5,25.0,0,0,0,0,0,0,0,0,1,0,1,Quận 10,6,10.7725282,106.6682021,3.4472229926353735,4.5,0,0.18181818181818182
Số,6.0,30.0,1,0,0,0,0,0,0,1,0,0,0,Quận 7,6,10.7375669,106.7296597,5.3345166839116684,4.0,0,0.18181818181818182
Tô Hiến Thành,5.5,25.0,1,0,1,0,1,0,1,1,0,1,1,Quận 10,6,10.7725282,106.6682021,3.4472229926353735,4.5,0,0.6363636363636364
Số 3/2,5.5,30.0,1,0,1,0,1,0,1,1,1,1,1,Quận 10,6,10.7725282,106.6682021,3.4472229926353735,4.5,0,0.7272727272727273
Bàu Cát,5.2,25.0,1,1,0,0,1,0,1,1,1,1,1,Quận Tân Bình,6,10.8030931,106.6523519,6.012418782951292,4.0,0,0.7272727272727273
Nguyễn Cư Trinh,5.7,25.0,0,0,0,0,0,0,0,0,1,1,0,Quận 1,6,10.7753939,106.6996249,0.0,5.0,0,0.18181818181818182
Trần Bình Trọng,4.6,40.0,1,1,0,0,1,0,0,0,0,0,0,Quận Bình Thạnh,6,10.812271,106.7040393,4.128798019662786,4.8,0,0.2727272727272727
Đặng Thuỳ Trâm,6.0,30.0,0,0,0,0,0,0,0,0,0,0,0,Quận Bình Thạnh,6,10.812271,106.7040393,4.128798019662786,4.8,0,0.0
Lê Văn Lương,2.0,30.0,0,1,1,1,1,1,0,0,0,1,0,Huyện Nhà Bè,6,10.6509356,106.7259486,13.961071149624273,3.0,0,0.5454545454545454
Huỳnh Tấn Phát,2.2,25.0,0,0,0,0,1,0,0,0,0,1,0,Huyện Nhà Bè,6,10.6509356,106.7259486,13.961071149624273,3.0,0,0.18181818181818182
Mai Lão Bạng,3.5,25.0,1,0,0,0,1,0,0,0,0,1,0,Quận Tân Bình,6,10.8030931,106.6523519,6.012418782951292,4.0,0,0.2727272727272727
Trần Thị Liền,4.0,35.0,0,0,1,0,0,0,0,0,1,1,0,Huyện Nhà Bè,6,10.6509356,106.7259486,13.961071149624273,3.0,0,0.2727272727272727
Khánh Hội,1.7,15.0,1,0,0,0,1,0,0,0,0,0,0,Quận 4,6,10.7607538,106.7070798,1.8202310306755016,3.5,0,0.18181818181818182
Lê Thị Kỉnh,3.1,22.0,1,0,0,0,0,0,0,0,1,1,0,Huyện Nhà Bè,6,10.6509356,106.7259486,13.961071149624273,3.0,0,0.2727272727272727
